BSc (Hons) Quantity Surveying & Commercial Management,Engineering, Degree ,Full Time,03 Years,https://www.nibm.lk/programmes/quantity-surveying-and-commercial-management/
BEng (Hons) Manufacturing Engineering,Engineering,Productivity and Quality Centre, Colombo / , Degree ,https://www.nibm.lk/programmes/beng-hons-manufacturing-engineering/
Higher National Diploma in Internet of Things Engineering,Engineering, Colombo / , Higher National Diploma ,Full Time,https://www.nibm.lk/programmes/higher-national-diploma-in-iot-engineering/
