BSc (Hons) in Information Technology Specialising in Software Engineering,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/software-engineering-degree/
BSc (Hons) in  Computer Science,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/computer-science-degree/
BSc (Hons) in Information Technology Specialising in Data Science,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/data-science-degree/
BSc (Hons) in Information Technology Specialising in Cyber Security,Computing,Location : Malabe / Colombo / Matara / Kandy ,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/cyber-security-degree/
BSc (Hons) in Information Technology Specialising in Information Technology,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/information-technology-degree/
BSc (Hons) in Information Technology Specialising in Computer Systems & Network Engineering,Computing,Location : Malabe / Colombo / Matara / Kandy  / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/computer-systems-network-engineering-degree/
BSc (Hons) in Information Technology Specialising in Information Systems Engineering,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/information-systems-engineering-degree/
BSc (Hons) in Information Technology Specialising in Interactive Media,Computing,Location : Malabe / Colombo / Matara / Kandy ,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/interactive-media-degree/
BSc (Hons) in  Computer Systems Engineering,Computing,Location : Malabe / Colombo / Matara / Kandy / Kurunegala,Degree,Duration : 4 Years,Full Time,Normal,https://www.sliit.lk/computing/programmes/computer-systems-engineering-degree/
Bachelor of Information Technology,Computing,"Location :Nawam Mawatha, Colombo 02",Degree,Duration :3 Years,Full-time,Curtin,http://sliitinternational.lk/computing/information-technology-degree/
Bachelor of Computing (Software Engineering),Computing,"Location :Nawam Mawatha, Colombo 02",Degree,Duration :3 Years,Full-time,Curtin,http://sliitinternational.lk/computing/software-engineering-degree/
Bachelor of Computing (Computer Systems & Networking),Computing,"Location :Nawam Mawatha, Colombo 02",Degree,Duration :3 Years,Full-time,Curtin,http://sliitinternational.lk/computing/computer-systems-networking-degree/
Bachelor of Cyber Security,Computing,"Location :Nawam Mawatha, Colombo 02",Degree,Duration :3 Years,Full-time,Curtin,http://sliitinternational.lk/computing/cyber-security/
